ID	alpha	beta	delta0
s0	1	1	0.5
s1	2	25	0.5
s2	15.75	5.25	0.5
s3	22	2	0.5
s4	8.5	12	0.5
s5	5.5	15.5	0.5
s6	23.5	3.5	0.5
s7	1	1	0.5
s8	17.5	8	0.5
s9	13.5	3.5	0.5
s10	4	17.6666666666667	0.5
s11	14	14	0.5
s12	1	1	0.5
s13	9.75	13.25	0.5
s14	16	8	0.5
s15	10.5	11.5	0.5
s16	9.66666666666667	9.66666666666667	0.5
s17	1	1	0.5
s18	6	12.5	0.5
s19	11.75	8.75	0.5
s20	4	22	0.5
s21	8	12	0.5
s22	1	1	0.5
s23	1	1	0.5
s24	8.5	14.75	0.5
s25	1	1	0.5
s26	15	11	0.5
s27	7.5	8	0.5
s28	8	12	0.5
s29	3.5	22	0.5
s30	3	9	0.5
s31	4	19	0.5
s32	20	7	0.5
s33	11	11.5	0.5
s34	15	7	0.5
s35	7	12	0.5
s36	9	9.5	0.5
s37	1	1	0.5
s38	1	1	0.5
s39	2	10	0.5
s40	8.66666666666667	12	0.5
s41	10.5	10.5	0.5
s42	1	1	0.5
s43	1	1	0.5
s44	10	14.5	0.5
s45	8	9	0.5
s46	1	1	0.5
s47	14.6666666666667	6	0.5
s48	1	1	0.5
s49	1	1	0.5
s50	7.33333333333333	15.6666666666667	0.5
s51	7.4	14.8	0.5
s52	17	6	0.5
s53	5	17	0.5
s54	4.5	12.5	0.5
s55	15	6	0.5
s56	1	1	0.5
s57	4.33333333333333	21	0.5
s58	13	15	0.5
s59	1	1	0.5
s60	11	12	0.5
s61	13	9	0.5
s62	1	1	0.5
s63	11	10	0.5
s64	1	1	0.5
s65	9	8.75	0.5
s66	6	13	0.5
s67	12.75	10.75	0.5
s68	11.5	13.5	0.5
s69	13	9	0.5
s70	1	1	0.5
s71	1	1	0.5
s72	7	16	0.5
s73	9	13	0.5
s74	6.5	14	0.5
s75	5	16	0.5
s76	9	13	0.5
s77	1	1	0.5
s78	14.3333333333333	11.6666666666667	0.5
s79	3	20	0.5
s80	7	13	0.5
s81	10	7	0.5
s82	9.66666666666667	11	0.5
s83	10	10	0.5
s84	14.5	4	0.5
s85	1	1	0.5
s86	1	1	0.5
s87	18.6666666666667	4.66666666666667	0.5
s88	15	6.5	0.5
s89	9	6	0.5
s90	1	1	0.5
s91	17	8	0.5
s92	1	1	0.5
s93	4	30	0.5
s94	4	16	0.5
s95	13	6.5	0.5
s96	1	1	0.5
s97	1	1	0.5
s98	10	13.5	0.5
s99	11	10	0.5
